ekicode,name
1130101,東京
1130102,新橋
1130103,品川
1130201,大崎
1130202,五反田
1130203,目黒
1130204,恵比寿
1130205,渋谷
1130206,原宿
1130207,代々木
1130208,新宿
1130209,新大久保
1130210,高田馬場
1130211,目白
1130212,池袋
1130213,大塚
1130214,巣鴨
1130215,駒込
1130216,田端
1130217,西日暮里
1130218,日暮里
1130219,鶯谷
1130220,上野
1130221,御徒町
1130222,秋葉原
1130223,神田
1130224,東京
1130225,有楽町
1130226,新橋
1130227,浜松町
1130228,田町
1130230,高輪ゲートウェイ
1130229,品川
1130317,矢野口
1130318,稲城長沼
1130319,南多摩
1130320,府中本町
1130321,分倍河原
1130329,西府
1130322,谷保
1130323,矢川
1130324,西国立
1130325,立川
1130501,府中本町
1130502,北府中
1130503,西国分寺
1130504,新小平
1130505,新秋津
1130610,成瀬
1130611,町田
1130617,相原
1130618,八王子みなみ野
1130619,片倉
1130620,八王子
1130801,東京
1130802,新橋
1130803,品川
1130804,西大井
1131101,東京
1131102,四ツ谷
1131103,新宿
1131104,吉祥寺
1131105,三鷹
1131106,国分寺
1131107,立川
1131108,日野
1131109,豊田
1131110,八王子
1131111,西八王子
1131112,高尾
1131201,東京
1131202,神田
1131203,御茶ノ水
1131207,四ツ谷
1131211,新宿
1131214,中野
1131215,高円寺
1131216,阿佐ケ谷
1131217,荻窪
1131218,西荻窪
1131219,吉祥寺
1131220,三鷹
1131221,武蔵境
1131222,東小金井
1131223,武蔵小金井
1131224,国分寺
1131225,西国分寺
1131226,国立
1131227,立川
1131228,日野
1131229,豊田
1131230,八王子
1131231,西八王子
1131232,高尾
1131301,三鷹
1131302,吉祥寺
1131303,西荻窪
1131304,荻窪
1131305,阿佐ケ谷
1131306,高円寺
1131307,中野
1131308,東中野
1131309,大久保
1131310,新宿
1131311,代々木
1131312,千駄ケ谷
1131313,信濃町
1131314,四ツ谷
1131315,市ケ谷
1131316,飯田橋
1131317,水道橋
1131318,御茶ノ水
1131319,秋葉原
1131320,浅草橋
1131321,両国
1131322,錦糸町
1131323,亀戸
1131324,平井
1131325,新小岩
1131326,小岩
1131401,東京
1131402,新日本橋
1131403,馬喰町
1131404,錦糸町
1131405,新小岩
1131501,立川
1131502,西立川
1131503,東中神
1131504,中神
1131505,昭島
1131506,拝島
1131507,牛浜
1131508,福生
1131509,羽村
1131510,小作
1131511,河辺
1131512,東青梅
1131513,青梅
1131514,宮ノ平
1131515,日向和田
1131516,石神前
1131517,二俣尾
1131518,軍畑
1131519,沢井
1131520,御嶽
1131521,川井
1131522,古里
1131523,鳩ノ巣
1131524,白丸
1131525,奥多摩
1131601,拝島
1131602,熊川
1131603,東秋留
1131604,秋川
1131605,武蔵引田
1131606,武蔵増戸
1131607,武蔵五日市
1131701,八王子
1131702,北八王子
1131703,小宮
1131704,拝島
1131705,東福生
1131706,箱根ケ崎
1131901,上野
1131902,尾久
1131903,赤羽
1132001,上野
1132002,日暮里
1132003,三河島
1132004,南千住
1132005,北千住
1132006,綾瀬
1132007,亀有
1132008,金町
1132101,大崎
1132102,恵比寿
1132103,渋谷
1132104,新宿
1132105,池袋
1132106,板橋
1132107,十条
1132108,赤羽
1132109,北赤羽
1132110,浮間舟渡
1132301,上野
1132302,尾久
1132303,赤羽
1132601,東京
1132602,八丁堀
1132603,越中島
1132604,潮見
1132605,新木場
1132606,葛西臨海公園
1132805,池袋
1132806,新宿
1132815,高尾
1132816,八王子
1132817,立川
1132818,国分寺
1132819,三鷹
1132820,吉祥寺
1132807,渋谷
1132808,品川
1132809,東京
1133210,赤羽
1133211,東十条
1133212,王子
1133213,上中里
1133214,田端
1133215,西日暮里
1133216,日暮里
1133217,鶯谷
1133218,上野
1133219,御徒町
1133220,秋葉原
1133221,神田
1133222,東京
1133223,有楽町
1133224,新橋
1133225,浜松町
1133226,田町
1133236,高輪ゲートウェイ
1133227,品川
1133228,大井町
1133229,大森
1133230,蒲田
1133302,赤羽
1133303,池袋
1133304,新宿
1133305,渋谷
1133306,恵比寿
1133307,大崎
1133308,西大井
1134301,東京
1134302,上野
2100101,池袋
2100102,北池袋
2100103,下板橋
2100104,大山
2100105,中板橋
