station_cd1,station_cd2,Lline_cd
100201,100202,L1002
100202,100203,L1002
100203,100204,L1002
100204,100205,L1002
100205,100206,L1002
100206,100207,L1002
100207,100208,L1002
100208,100209,L1002
100209,100210,L1002
100210,100211,L1002
100211,100212,L1002
100212,100213,L1002
100213,100214,L1002
100214,100215,L1002
100215,100216,L1002
100216,100217,L1002
100301,100302,L1003
100302,100303,L1003
100303,100304,L1003
100304,100305,L1003
100305,100306,L1003
100306,100307,L1003
100307,100308,L1003
100308,100309,L1003
100309,100310,L1003
100310,100311,L1003
100311,100312,L1003
100312,100313,L1003
100313,100314,L1003
100314,100315,L1003
100315,100316,L1003
100316,100317,L1003
100317,100318,L1003
100318,100319,L1003
100401,100402,L1004
100402,100403,L1004
100403,100404,L1004
100404,100405,L1004
100405,100406,L1004
100406,100407,L1004
100407,100408,L1004
100408,100409,L1004
100409,100410,L1004
100410,100411,L1004
100411,100412,L1004
100412,100413,L1004
100413,100414,L1004
100414,100415,L1004
100415,100416,L1004
100416,100417,L1004
100417,100418,L1004
100418,100419,L1004
100419,100420,L1004
100420,100421,L1004
100421,100422,L1004
100422,100423,L1004
100501,100502,L1005
100502,100503,L1005
100503,100504,L1005
100504,100505,L1005
100505,100506,L1005
100506,100507,L1005
100507,100508,L1005
100508,100509,L1005
100509,100510,L1005
100510,100511,L1005
100511,100512,L1005
100601,100602,L1006
100701,100702,L1007
100702,100703,L1007
100703,100704,L1007
100704,100705,L1007
100705,100706,L1007
100706,100707,L1007
100707,100708,L1007
100708,100709,L1007
100709,100710,L1007
100710,100711,L1007
100711,100712,L1007
100712,100713,L1007
100713,100714,L1007
100714,100715,L1007
100715,100716,L1007
100716,100717,L1007
100717,100718,L1007
100718,100719,L1007
100801,100802,L1008
100802,100803,L1008
100803,100804,L1008
100804,100805,L1008
100805,100806,L1008
100806,100807,L1008
100807,100808,L1008
100808,100809,L1008
100809,100810,L1008
100810,100811,L1008
100811,100812,L1008
100812,100813,L1008
100813,100814,L1008
100814,100815,L1008
100815,100816,L1008
100816,100817,L1008
100817,100818,L1008
100818,100819,L1008
100819,100820,L1008
100820,100821,L1008
100821,100822,L1008
100822,100823,L1008
100901,100902,L1009
100902,100903,L1009
100903,100904,L1009
100904,100905,L1009
100905,100906,L1009
100906,100907,L1009
100907,100908,L1009
100908,100909,L1009
100909,100910,L1009
100910,100911,L1009
100911,100912,L1009
100912,100913,L1009
100913,100914,L1009
100914,100915,L1009
100915,100916,L1009
100916,100917,L1009
100917,100918,L1009
101001,101002,L1010
101002,101003,L1010
101003,101004,L1010
101004,101005,L1010
101005,101006,L1010
101006,101007,L1010
101007,101008,L1010
101008,101009,L1010
101009,101010,L1010
101010,101011,L1010
101011,101012,L1010
101101,101102,L1011
101102,101103,L1011
101103,101104,L1011
101104,101105,L1011
101105,101106,L1011
101106,101107,L1011
101107,101108,L1011
101108,101109,L1011
1110101,1110102,L11101
1110102,1110103,L11101
1110103,1110104,L11101
1110104,1110105,L11101
1110105,1110106,L11101
1110105,1110108,L11101
1110106,1110107,L11101
1110107,1110108,L11101
1110108,1110109,L11101
1110108,1110114,L11101
1110109,1110110,L11101
1110110,1110111,L11101
1110111,1110123,L11101
1110114,1110115,L11101
1110115,1110116,L11101
1110116,1110117,L11101
1110117,1110118,L11101
1110118,1110119,L11101
1110119,1110120,L11101
1110120,1110121,L11101
1110121,1110122,L11101
1110122,1110123,L11101
1110123,1110125,L11101
1110125,1110126,L11101
1110126,1110127,L11101
1110127,1110128,L11101
1110128,1110129,L11101
1110129,1110130,L11101
1110130,1110131,L11101
1110131,1110133,L11101
1110133,1110134,L11101
1110134,1110136,L11101
1110136,1110137,L11101
1110137,1110138,L11101
1110201,1110202,L11102
1110202,1110204,L11102
1110204,1110205,L11102
1110205,1110206,L11102
1110206,1110207,L11102
1110207,1110208,L11102
1110208,1110209,L11102
1110209,1110210,L11102
1110210,1110211,L11102
1110211,1110212,L11102
1110212,1110213,L11102
1110213,1110214,L11102
1110214,1110215,L11102
1110215,1110216,L11102
1110216,1110217,L11102
1110217,1110218,L11102
1110218,1110219,L11102
1110301,1110302,L11103
1110302,1110303,L11103
1110303,1110304,L11103
1110304,1110305,L11103
1110305,1110306,L11103
1110306,1110307,L11103
1110307,1110308,L11103
1110308,1110309,L11103
1110309,1110310,L11103
1110310,1110311,L11103
1110311,1110312,L11103
1110312,1110313,L11103
1110313,1110314,L11103
1110314,1110315,L11103
1110315,1110316,L11103
1110316,1110317,L11103
1110317,1110318,L11103
1110318,1110319,L11103
1110319,1110320,L11103
1110320,1110321,L11103
1110321,1110322,L11103
1110322,1110323,L11103
1110323,1110324,L11103
1110324,1110325,L11103
1110325,1110326,L11103
1110326,1110327,L11103
1110327,1110328,L11103
