ekicode,groupcode,name,noriire,ido,keido
1130101,1130101,東京,20,139.766103,35.681391
1130102,1130102,新橋,15,139.758587,35.666195
1130103,1130103,品川,14,139.738999,35.62876
1130201,1130201,大崎,8,139.728439,35.619772
1130202,1130202,五反田,5,139.723822,35.625974
1130203,1130203,目黒,8,139.715775,35.633923
1130204,1130204,恵比寿,8,139.71007,35.646685
1130205,1130205,渋谷,14,139.701238,35.658871
1130206,1130206,原宿,6,139.702592,35.670646
1130207,1130207,代々木,11,139.702042,35.683061
1130208,1130208,新宿,37,139.700464,35.689729
1130209,1130209,新大久保,2,139.700261,35.700875
1130210,1130210,高田馬場,6,139.703715,35.712677
1130211,1130211,目白,2,139.706228,35.720476
1130212,1130212,池袋,18,139.711086,35.730256
1130213,1130213,大塚,10,139.728584,35.731412
1130214,1130214,巣鴨,7,139.739303,35.733445
1130215,1130215,駒込,5,139.748053,35.736825
1130216,1130216,田端,4,139.761229,35.737781
1130217,1130217,西日暮里,8,139.766857,35.731954
1130218,1130218,日暮里,16,139.771287,35.727908
1130219,1130219,鶯谷,4,139.778015,35.721484
1130220,1130220,上野,19,139.777043,35.71379
1130221,1130221,御徒町,11,139.774727,35.707282
1130222,1130222,秋葉原,9,139.773288,35.698619
1130223,1130223,神田,8,139.770641,35.691173
1130224,1130101,東京,20,139.766103,35.681391
1130225,1130225,有楽町,6,139.763806,35.675441
1130226,1130102,新橋,15,139.758587,35.666195
1130227,1130227,浜松町,5,139.757135,35.655391
1130228,1130228,田町,10,139.747575,35.645736
1130230,1130230,高輪ゲートウェイ,2,139.7407,35.6355
1130229,1130103,品川,14,139.738999,35.62876
1130317,1130317,矢野口,1,139.520849,35.641305
1130318,1130318,稲城長沼,2,139.502811,35.644184
1130319,1130319,南多摩,2,139.489781,35.649249
1130320,1130320,府中本町,3,139.477142,35.665766
1130321,1130321,分倍河原,4,139.468798,35.668493
1130329,1130329,西府,2,139.457477,35.670912
1130322,1130322,谷保,2,139.446724,35.681377
1130323,1130323,矢川,2,139.431611,35.685079
1130324,1130324,西国立,2,139.423887,35.69375
1130325,1130325,立川,14,139.413704,35.698202
1130501,1130320,府中本町,3,139.477142,35.665766
1130502,1130502,北府中,2,139.471792,35.68088
1130503,1130503,西国分寺,4,139.465994,35.699744
1130504,1130504,新小平,2,139.470745,35.73128
1130505,1130505,新秋津,1,139.493592,35.778331
1130610,1130610,成瀬,1,139.472875,35.535412
1130611,1130611,町田,3,139.445579,35.542004
1130617,1130617,相原,1,139.33169,35.60694
1130618,1130618,八王子みなみ野,2,139.330678,35.630664
1130619,1130619,片倉,4,139.34119,35.639704
1130620,1130620,八王子,14,139.338998,35.655555
1130801,1130101,東京,20,139.766103,35.681391
1130802,1130102,新橋,15,139.758587,35.666195
1130803,1130103,品川,14,139.738999,35.62876
1130804,1130804,西大井,2,139.721729,35.601616
1131101,1130101,東京,20,139.766103,35.681391
1131102,1131102,四ツ谷,10,139.730644,35.686041
1131103,1130208,新宿,37,139.700464,35.689729
1131104,1131104,吉祥寺,9,139.579765,35.703119
1131105,1131105,三鷹,9,139.560325,35.702683
